JSZ5Y36,male,24,urlLink    Never thought I'd see this sign...  urlLink
JSZ5Y36,male,24,urlLink    More Nevada  urlLink
JSZ5Y36,male,24,"from a refrigerator magnet    For a long time it seemed to me that life was about to begin  real life.  But there was always some obstacle in the way, something to be gotten through first,  some unfinished business, time still to be served, a debt to be paid.  At last it dawned on me that these obstacles were my life.  This perspective has helped me to see there is no way to happiness.  Happiness is the way.  So treasure every moment you have and remember that time waits for no one.  Happiness is a journey, not a destination.       -Father Alfred D'Souza"
JSZ5Y36,male,24,"Words from other people's mouths My first thought to share is the one that's been with me the longest.  I came across this about three years ago in Oakland, CA on a plaque enshrined to Jack London.  He called it his ""Credo"": I would rather be ashes than dust! I would rather that my spark should burn out      in a brilliant blaze than it should be stifled by dry-rot.  I would rather be a superb meteor, every atom      of me in magnificent glow, than a sleepy and       permanent planet.  The function of man is to live, not to exist.  I shall not waste my days trying to prolong them.  I shall use my time. Next is from T.S. Eliot's poem  Four Quartets .  These passages are from the fourth quartet, ""Little Gidding"": What we call the beginning is often the end And to make and end is to make a beginning. The end is where we start from.  [...]  We shall not cease from exploration And the end of all our exploring Will be to arrive where we started And know the place for the first time. Come to think of it, this next quote has been in my presence even longer than Jack London's credo.  It's scrawled in my quote book from February of my junior year at UConn.  This thought from Mark Twain - or, more accurately, Samuel Clemens - is most appropriate as I struggle with what to do with the rest of my life, in all aspects: Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover. I'll write more in a bit.  For now, this is enough."
JSZ5Y36,male,24,"Why oh why   Why -- the question of my life.  I always ask it, and rarely answer it.  I really hate my job right now.  I don't enjoy teaching.  Well, I don't enjoy it enough to justify doing it.  I like parts of it, but there's just so much... crap.  I feel run-down.  Thanks to my guitar -- I've been into playing lately, and it helps.    Vernon Chorale tonight.  Not terribly excited about that.  Oh, and Loki has been missing for almost two days.  I'm sure he's hiding somewhere, but wherever he is, it's a good spot."
JSZ5Y36,male,24,"It's Day 2 in San Francisco for us and last night was bullshit.  It was our second night at the state park in Marin County north of the city, but last night the fog came in with a vengeance.  So much so, in fact, that it condensed on all the trees around our site and then the trees started raining on us.  No rain in the parking lot, rain under the trees.  What the fuck.  So I woke up around 6:30 to an empty tent, which was dripping wet.  Dan had headed for the car to sleep because he was cold just before the trees began to piss on us.  Add to that the fact that I hadn't put on the rain fly due to the beautiful weather... and you pretty much get the picture.  Rain was dripping in on me, and had been for some time, evidently.  The tent was drenched, although I wasn't for some reason.  So I packed up the tent in the rain and stuffed all the wet stuff in the trunk.  Tonight we're staying at a Hyatt on the Embarcadero so that we can enjoy the city for the Fourth.  I also need a break from the rain.  And a shower.  Should be fun :).  Off for more adenvtures.  Ehren out."
JSZ5Y36,male,24,urlLink       urlLink
JSZ5Y36,male,24,"urlLink from Rilke - Letters to a Young Poet - Letter 7   We know little, but that we must trust in what is difficult is a certainty that will never abandon us; it is good to be solitary, for solitude is difficult; that something is difficult must be one more reason for us to do it.   It is also good to love: because love is difficult. For one human being to love another human being: that is perhaps the most difficult task that has been entrusted to us, the ultimate task, the final test and proof, the work for which all other work is merely preparation. That is why young people, who are beginners in everything, are not yet capable of love: it is something they must learn. With their whole being, with all their forces, gathered around their solitary, anxious, upward-beating heart, they must learn to love."
JSZ5Y36,male,24,"Great weekend   Things are interesting.  I've spent the afternoon and evening here at home by myself, and as usual, things are getting cerebral.     The CMEA conference on Friday was exactly what I needed, in many ways I wasn't aware of.  It was good to see people from my graduating class from UConn.  It was great to be around other music teachers.  And my seminar was... well, it was really good.  I was proud of it.  I was nervous, but got off to a good start.  My personality came through even when I wasn't the smoothest of talkers, and some of the 25(!!!) people there really seemed to enjoy it.  I wonder if I can take my own advice?  I sure had a lot of good stuff to say on Friday.  Stuff about not burning out and the like.  Man, it felt good to do that... even if I did it on my own instead of with people.  Actually, especially because I did it on my own.    I very much need to start calling parents.  I just hate confrontation.  I don't like to call parents and tell them that their pride and joy is being a pain in my rear end.  But my sanity may depend on it.  April and May could become reeeeally long.  Plus, there might be other consequences too, that I can't discuss here.  But they wouldn't be good.  I need to start calling parents right after school.  Even though I have rehearsal until 5pm.  Gah.  Had a great weekend.  Partied two nights in a row.  Man, it's been a long time since I did that.  My attitude today has been just kind of mellow as a result.  Paychecks are nice.  Going to go think too much again."
JSZ5Y36,male,24,urlLink    Yosemite Valley - from above  urlLink
